"8000","8001","8002","8003","8004","8006","8007","8008","8009","8010","8011","8012","8013","8014","8016","8017","8018","8020","8021","8022","8023","8024","8025","8026","8027","8028","8029","8030","8032","8033","8034","8035","8036","8037","8038","8039","8041","AK_SG_10","AK_SG_11","AK_SG_12","AK_SG_15","AK_SG_16","AK_SG_17","AK_SG_18","AK_SG_19","AK_SG_2","AK_SG_20","AK_SG_22","AK_SG_25","AK_SG_26","AK_SG_28","AK_SG_29","AK_SG_4","AK_SG_5","AK_SG_7","AK_SG_8","AK_SG_9","AK_SK_1","AK_SK_10","AK_SK_11","AK_SK_12","AK_SK_13","AK_SK_14","AK_SK_15","AK_SK_17","AK_SK_18","AK_SK_2","AK_SK_25","AK_SK_26","AK_SK_27","AK_SK_29","AK_SK_30","AK_SK_32","AK_SK_33","AK_SK_35","AK_SK_36","AK_SK_37","AK_SK_38","AK_SK_39","AK_SK_40","AK_SK_44","AK_SK_45","AK_SK_47","AK_SK_47.2","AK_SK_48","AK_SK_49","AK_SK_49.2","AK_SK_5","AK_SK_8","AK_SK_9","AK_SR_1","AK_SR_10","AK_SR_2","AK_SR_2.2","AK_SR_3","AK_SR_4","AK_SR_5","AK_SR_6","AK_SR_7","AK_SR_8","AK_SR_9","AK_SW_1","AK_SW_11","AK_SW_12","AK_SW_14","AK_SW_2","AK_SW_3","AK_SW_4","AK_SW_5","AK_SW_7","AK_SW_8","AK_SW_9"
"CBM13",0.0926504646887938,0.0537005709998663,0.106812411979016,0.0741641737071158,0.0702580267288147,0.165397294253578,0.0944432063690297,0.095263240241272,0.126938170661883,0.167965122753302,0.213246310451279,0.165423819469437,0.120172740272318,0.20131798744795,0.100838303806759,0.125170363094734,0.102202736022715,0.0636756467264433,0.0799086240863595,0.131894144419462,0.0795077973633278,0.0542284372554852,0.0774680355943377,0.100837145329256,0.0256711602987149,0.130942805893999,0.0923751245869612,0.056428879394948,0.0620801289527213,0.0636755650594576,0.260021705867845,0.210341319519313,0.261803668605517,0.133519989239465,0.106777273303115,0.10838603289388,0.0941239171878379,0.240802254626778,0.215618995108093,0.0569992503363652,0.131004922757958,0.0296537139910302,0.232909383548159,0.444122259244784,0.317336605570342,0.105563567808787,0.313040073181508,0.347906045515058,0.0268113414260673,0.0245297344734566,0.390963187054614,0.0563479403553994,0.175338889053517,0.0919893993168371,0.274354982726848,0.157462755502998,0.129330212615056,0.0437534667745913,0.029496627053526,0.014983102420182,0.175353198699568,0.148791506514025,0.0295584892325934,0.161472846685704,0.0799489235809246,0.0607475930554787,0.0479886557300302,0.10924405047337,0.103374826716751,0.0232436105187087,0.0863144128966391,0.259632364808347,0.39436190473541,0.128271000841931,0.150013969884318,0.00972413433640026,0.0790379479859498,0.0839278368987148,0,0.110679319700829,0.132105292379133,0.0699458020403537,0.0392633735487211,0.133979889923869,0.13303013288718,0.281551713446531,0.0932996654257391,0.220099217860815,0.168765411997294,0.123225525731359,0.00444442862443443,0.247253829301909,0.00623374315003056,0.0754467406177149,0.204704212139809,0.052380261710527,0.0854576207195805,0.0302768204534469,0.55040959714951,0.061628921033067,0.131501132371076,0.0824926441892262,0.235255753122251,0,0.0315924395949663,0.220495868797982,0.0908103629694811,0.38910575571534,0.0169458924870023,0.257144946228923,0.252446559983811,0.0922212007962236
"CBM16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000243931672624112,0,0,0.000623065251604664,0,0,0,0,0,0,0.00021592029358106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00149638529027087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00140338766371954,0,0,0
"CBM2",0.0127743323236394,0.0154258972524555,0.0224612592153492,0.0366385301858856,0.028844277892793,0.0422417601222418,0.0169866736425139,0.012112761298024,0.0457606085222214,0.025789642094157,0.0467616885647359,0.00172628419787249,0.0305151898361465,0.0654233317884953,0.0198950080870358,0.0129863327460928,0.0316115735492347,0,0.017520350724025,0.00550717335891621,0.02296846180899,0.000458913289689136,0.0141438794738907,0.0162408986233973,0.0204566686615276,0.0114027736891754,0.00748638152233644,0.0167670817928511,0.00811257724048565,0.00873740336700509,0.017539269544748,0.0381924657220202,0.0052651582771898,0.0161505646440282,0.0288262716412683,0.0051763587683156,0.00371168548693668,0,0,0.00775470058910501,0.00203562290370001,0,0.0277067746483799,0,0,0.00833861129439455,0,0,0,0,0,0.0118674794299005,0,0,0,0,0,0,0,0,0,0,0,0.0029957848036122,0,0,0,0,0,0,0.0371998272842635,0.0171797589627165,0.0215990456821862,0,0,0,0,0,0.0240061658714182,0,0.0146758802783898,0.00642125975460227,0,0.00210837984121311,0,0,0.00161678860271731,0.00825434860396163,0,0,0.000978179830335585,0.0418621873720422,0.00118190161736501,0.0228246135646177,0,0.00449891172942792,0,0.0331085015610374,0,0.00459802526159169,0,0.00555097042794899,0,0,0,0,0,0,0.1135526006495,0,0,0
"CBM20",0.153468209807987,0.187774228076047,0.136707922146885,0.0792414700090745,0.0592395746697749,0.0853925244795619,0.106655754863703,0.141318152894176,0.117290557292242,0.146301741473157,0.0650809238627329,0.134486272861585,0.126541865620689,0.070870913974415,0.0388102562304387,0.0875621035649988,0.12400099193824,0.143266873933174,0.195577478897869,0.15116962576678,0.179239296776494,0.157633013184187,0.0591449914130839,0.0796404245035912,0.0844466478372639,0.0917271054451014,0.140244643567775,0.111647156135548,0.140033083913767,0.0929089078232101,0.0870603184551215,0.077520638042048,0.155481984125677,0.0975767794894068,0.122311799655679,0.142880447054821,0.155275249599347,0.0932927616373063,0.113609064120222,0.133000833552573,0.134081995940034,0.151324538738484,0.00888896629062578,0.0791288959028509,0.0660175446139845,0.0219683065846053,0.0852876494193684,0.0440962898804797,0.154950483302138,0.223250232760797,0.064185971031796,0.068690721658595,0.155975411388951,0.160691921879261,0.0645460348393361,0.0826354427853388,0.16689385009659,0.201604777401283,0.211023777994625,0.195822484827869,0.130029990276551,0.163413698323527,0.0530633107880712,0.0929960718091183,0.219160643828983,0.0139814679857779,0.17029297210187,0.0368092298224417,0.0976784942224329,0.0133048272902947,0.067148203209713,0.0794574358073623,0.0959617253881884,0.019108793132191,0.0360510558038934,0.161608051407673,0.00448522435490923,0.17672399718861,0.0879023884633019,0.0649649061460092,0.0160722295958675,0.0341120300553479,0.128843637532353,0.178177333587114,0.167410343036224,0.130437920977564,0.103355558094281,0.0562239472122553,0.0336028005631963,0.14194841553335,0.249946098282637,0.195651253166956,0.235022616641648,0.10286147885099,0.12008963165383,0.122123881487302,0.193075489917564,0.0875222891696154,0.0734218063710324,0.0986745704046442,0.0830420938374087,0.0367544221375617,0.0903907153774958,0.240741451876993,0.0785983642618832,0.143502775813069,0.145943674941818,0.0977482088459209,0.105961273122238,0.214932621286732,0.157889135653878,0.0851078196835534
"CBM21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00083891720952385,0,0.00276211559005684,0.00384884501222466,0.00477287307452105,0,0,0,0,0,0.00399579535245876,0.00045097426810729,0,0,0.00398800639305767,0.000438243942674363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CBM22",0.0204358197242646,0.0146161926865071,0,0.0100117449007553,0.0229720637353549,0.0574007932973699,0.0354801509932974,0.0382139603899053,0.0376680535878424,0.0434491966290032,0.0525019962494299,0.0033798989278387,0.0503589702500424,0.0533904733355033,0.0160975729307794,0.00915833279324921,0.0251731400461235,0.018195765959983,0.0199558498108049,0.0545720281292286,0.03451426523775,0.0108451133038195,0.00890396800857049,0.0497055201367476,0.00811197141214782,0.0404865320747467,0.0291401215283153,0.0158792349693133,0.00406083419936367,0.0221982726751893,0.0176989045567679,0.10489586502736,0.0243402501975305,0.0328518290008922,0.0313184091237559,0.00299361981550543,0.0284680596037966,0.00776404988460757,0.00393389652230282,0.0085949792920979,0.00732572262535672,0,0.0195099779787455,0,0,0.0214787964291821,0,0,0,0.0117569460361705,0,0,0.0157502514757118,0.0281357301373604,0,0.00286998935692989,0,0.0117389043444406,0,0.0125239532024123,0.0121551561468508,0.019298035743028,0,0.0195079054537829,0.00820022423421064,0.0108128236645652,0.00670467730645983,0.00369676369183094,0.00732032186525055,0.00794765026370412,0.0176488141538474,0.0500631358370029,0.0099664882964725,0,0.00438231067853546,0,0.00208857826274888,0.0113750782273563,0,0.00659479777424541,0.0229349571658545,0.0231938205187858,0.00454530576345536,0.0197651091238947,0.00271868867791723,0.0461699940611096,0.0262423959915308,0.0161582572678256,0.00508495369360964,0.00257559235980943,0.00471813217238957,0,0,0,0,0.00807863503528385,0,0.00383386597464474,0,0.00503333049051152,0.0256091137881108,0.00290059117641344,0,0,0,0,0.00452932339186888,0.00810574152290844,0.000678028212882748,0.00545629702252596,0.00829349987614393,0
"CBM23",0.0128032372713343,0.00844213968054269,0.000352071149162307,0.0172106143410994,0.00723070059490405,0.0480470661634773,0.0155113977588726,0.0194225775582057,0.0290501479411645,0.0213226781573737,0.0638666539518147,0.00292057946326853,0.0152133911197897,0.0297251055647445,0.0486337436297352,0.00279622083256355,0.0160072179371694,0.00778473174764879,0.0174443291901259,0.00219394103834491,0.0264023832256177,0.0168934059204921,0.00627178983466538,0.0535898246442801,0.00484961649373517,0.0124638942363257,0.0117229927670073,0.0189433035429384,0.00517912819865516,0.0172921384658189,0.00814798185023575,0.0175699892643519,0.0126238808685633,0.0286642027460685,0.0170588700228485,0.00456486145126931,0.00154888763690823,0.00291340773450501,0.00393389652230282,0.0085949792920979,0.00255203027061895,0.00246510288180333,0.0144301359399832,0.00596165825923561,0.0094589176858139,0,0,0,0,0.0117569460361705,0,0,0.00518092485476574,0.0281357301373604,0.00353411471709816,0.00146565155691764,0,0.0473446580420026,0.0177139703939695,0.0571915161980195,0.0521529888402568,0.0430583105273307,0.060453110581507,0.0247624530779858,0.0162179020671639,0.0516264923917609,0.0390453648048551,0.064327300307215,0.02439769458677,0.0266093017710602,0.00977550656520807,0.0171797589627165,0.0293246640657464,0.250512041799891,0.0255367005725393,0.107251048380506,0.104713662678078,0.0352183399322266,0.0274692324837523,0.0135123877382067,0.108009579346725,0.147513866023193,0.0242706832603136,0.0249307714443488,0.0229126146520272,0.0461699940611096,0.0269780359838923,0.0986680166223413,0.0615889889435553,0.0291087996257833,0.0060058356598899,0.0104655468430105,0.00177108234872147,0.00355569128364639,0,0.00807863503528385,0.00218515459298087,0.0262771205018671,0,0.00351922032384592,0.0151684476826201,0.00577921515222407,0.00657700985710084,0.0142529486136762,0,0,0.0163436787227636,0.00810574152290844,0.0290661783752577,0.0271236728160756,0.00829349987614393,0
"CBM25",0,0.000802229211291148,0.00499666738166385,0.0280251009284414,0.00566391583946958,0.0122005633210859,0.00281133285398107,0.0321334953613532,0.00192716468645113,0,0,0.00419994248502595,0.000656993869825627,0.0149422221673026,0.00164589569503617,0,0.00108109420633921,0,0.0113022100269105,0.00417548420727807,0.00641400050025711,0,0.00174846323763135,0.00157933531343501,0,0,0.00205225935424414,0.00488069501226897,0.00123134894207995,0,0.0142998848215803,0.0104326918814293,0.0113041010290765,0.00295709647254061,0.00259129262118302,0.00129704632792902,0.00218477562323094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00569184366884557,0.00456171251878732,0,0,0,0,0.00351334781081416,0.00796533551151588,0,0,0,0,0,0,0,0,0.000996067191056755,0,0.012586692836298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0122127137792568,0,0,0,0,0,0,0,0,0,0,0
"CBM26",0.00718240862759655,0.0132259135407655,0.000360286948386877,0.00145644369839569,0.0556459679001246,0.0432197899048316,0.00895781324599493,0.0299202577802164,0.00242023055580336,0.0575298820691387,0.0257628160691294,0.00726089647407994,0.0147887307365171,0.0641618266400053,0.0348935754359239,0.0179165992232841,0.0100756556876432,0.0118182125652426,0.00726463400887196,0.0261426835011343,0.0327721845490525,0.00674812978523234,0.73585071281121,0.0233699326359313,0.113653297505586,0.0113408251307876,0.0313748335749476,0.0111159938576509,0.00999793052355281,0.0273654950203202,0.020560560836126,0.052667726378697,0.0136597603952998,0.02451463380811,0.0162140551386105,0.0210277785282082,0.0302645012962845,0,0,0,0,0,0,0,0,0.00211486186395367,0,0.0125237932691778,0,0,0,0,0.00889627125024314,0,0.0305371783886234,0.00293185342011713,0,0,0,0,0,0.032983882041515,0,0.0029957848036122,0,0,0,0,0.0371803933868619,0,0,0,0,0.00593157190459521,0.0111035737086543,0.0367827445171834,0.0315711494065693,0.0135106237677519,0,0,0.00641114962179671,0.00429202059872092,0,0,0,0,0,0.0100550593698988,0.0250743421995606,0,0.00555104332522343,0.010357162513273,0.00131552106094288,0.00979497399335481,0,0.00471477923474682,0,0,0,0,0,0,0,0,0,0,0,0,0.00436422815858888,0,0,0
"CBM27",0.00781980958043104,0.000630745879093779,0.000352071149162307,0.00107979076745597,0.00376449210124121,0.0213139347062494,0,0.01315012990781,0.0119625705451648,0.00578850417862085,0.00796884680582332,0.00206124900368473,0.000804959097181743,0.00424870786503156,0.0251656646921735,0.000785202963299172,0.00772735741279717,0.0011852124251836,0.00204806416298089,0.000275350784945471,0.0126481047379086,0.0284180126937925,0.00111204068230236,0.031994187575693,0.000439839203830892,0.00428122337031552,0.00216038310928081,0.00481848304706502,0.00446284201044247,0.0117809861623728,0.00306506039340178,0.00887102034747375,0.0101411957658061,0.00370621319102317,0.00811819920492432,0.00256438886902994,0.00154888763690823,0.0105952106040296,0.00324590739668306,0.0852142901543921,0.00876944877475251,0.00497664721941128,0.0108803812219501,0.00596165825923561,0.01734973763245,0.00746623189756869,0.0129921642545802,0,0,0.0235138920723409,0.00531898602905482,0.0735195387378341,0.00255588294214711,0.0562714602747207,0.101224053967305,0.00602594647661415,0.00704089181184602,0.0269340510337864,0.0177139703939695,0.0250479064048246,0.0303315485511036,0.0990998577469113,0.0734885988302525,0.0390158109075658,0.0496798152551525,0.0983307058562547,0.0159209555472853,0.0227298624073023,0.0639795944875486,0.0391137764164402,0.0195510131304161,0.0171797589627165,0.0151397075926904,0.00669503786001752,0,0,0.00417715652549776,0.0657203344313734,0,0.0546305322647213,0.0341443500301332,0.0675007354289828,0.0157828039851463,0.0752509790341565,0.0107122164360153,0.0923399881222192,0.0419102098006587,0.0275792633527854,0.0101699073872193,0.00515118471961884,0.0018351105834106,0,0.00147560694438022,0,0,0,0.00218515459298087,0.014540595253806,0,0.00525401835431447,0.00533052468445575,0.0266240737118259,0.0239377985252475,0,0.0225202793859318,0.00272915840695583,0.0563115124683343,0.0211002550428464,0.00948153568448612,0.0109125940450519,0.0165869997522878,0
