Food,Warli,Madia,Gond,Kabui,Purigpa,Boto,Brokpa,Balti,Sumbyfood,Sumbygroup
Mushrooms,0,0.1,0.1,4,0,0,0,0,4.2,4.2
Sweets (non-dairy),0,0,0,0,0,0,4,4,8,20
Fried and street food,8,0,4,0,0,0,0,0,12,
Field bean,1,0,0,0,0,0,0,0,1,118
Horse gram,1,0,0,0,0,0,0,0,1,
Soya bean,2,0,0,0,0,0,0,0,2,
Broad beans,0,0,4,0,0,0,0,0,4,
Rice bean,0,0,0,4,0,0,0,0,4,
Black gram,4,0,0,4,0,0,1,1,10,
Red kidney beans,0,0,0,0,4,2,2,2,10,
Red lentil (Masoor dal),8,4,4,0,0,0,0,0,16,
Chickpea,0,4,4,0,4,2,2,2,18,
Green gram (Mung gal),4,4,4,4,4,2,2,2,26,
Pigeon pea (Tur dal),8,4,4,0,4,2,2,2,26,
Rice liquor,0,4,4,30,0,0,0,0,38,136
Toddy,30,4,4,0,0,0,0,0,38,
Mahua,0,30,30,0,0,0,0,0,60,
Beef,0,0,0,1,0,0,0,0,1,139
Wild animals,1,1,1,0,0,0,0,0,3,
Pork,1,1,1,1,0,0,0,0,4,
Red ants,0,2,2,0,0,0,0,0,4,
Eggs,8,2,4,0,0,0,0,4,18,
Goat,1,4,8,0,4,1,4,4,26,
Poultry,2,4,8,0,4,1,4,4,27,
Fish,8,8,8,30,1,0,0,1,56,
Fermented foods ,0,4,4,30,30,30,30,30,158,158
Salted tea,0,0,0,0,4,60,8,0,72,
Black tea,30,30,30,30,0,0,0,0,120,120
Buttermilk,1,0,0,0,0,0,0,0,1,583
Cottage cheese,0,0,0,0,1,0,0,0,1,
Sweets (dairy),0,0,0,0,8,0,0,0,8,
Curd,1,0,0,0,30,8,8,8,55,
Tea with milk,0,0,0,0,30,0,30,30,90,
Milk,8,0,0,0,30,30,60,60,188,
Butter,0,0,0,0,60,60,60,60,240,
Bamboo shoots,0,1,1,8,0,0,0,0,10,672
Gourds,4,4,4,4,0,0,0,0,16,
Flower,0,4,4,8,0,0,0,0,16,
Nuts and seeds,0,0,0,0,4,4,4,4,16,
Citrus,2,8,8,2,0,0,0,0,20,
Cabbage family,4,0,0,4,4,8,4,4,28,
?Fruit vegetables,4,4,4,0,4,4,4,4,28,
Pits,0,8,8,0,8,8,8,8,48,
Core,0,8,8,0,8,8,8,8,48,
Pods and seeds,4,8,0,0,4,30,4,4,54,
Berries,30,8,8,0,8,0,0,0,54,
Roots and tubers,4,4,4,4,4,30,4,4,58,
Tropical fruits,30,8,8,2,8,0,4,0,60,
Greens,8,30,30,8,8,8,8,8,108,
Stem,8,30,30,8,8,8,8,8,108,
Corn,0,0,0,1,0,0,0,0,1,761
Bajra,0,4,4,0,0,0,0,0,8,
Other millets,0,4,4,0,0,0,0,0,8,
Jowar,8,4,4,0,0,0,0,0,16,
Wheat,8,0,0,0,30,30,30,60,158,
Barley,0,0,0,0,30,60,30,60,180,
Rice,60,60,60,60,30,30,30,60,390,
Tamarind,4,0,0,0,0,0,0,0,4,856
Fennel,0,0,0,0,0,0,4,0,4,
Cinnamon,0,0,0,0,0,0,4,0,4,
Coriander,0,0,0,0,0,8,0,0,8,
Mustard seeds,0,0,8,0,0,0,0,0,8,
Cumin,0,8,8,0,0,2,0,0,18,
Spice leaves,0,8,8,8,0,0,4,0,28,
Ginger,0,8,8,8,4,0,4,0,32,
Garlic,0,8,8,8,4,0,4,4,36,
Masala,8,8,8,0,0,30,0,0,54,
Turmeric,30,30,30,30,60,30,60,60,330,
Chili,30,30,30,30,60,30,60,60,330,
