ID	Bacteroides_pectinophilus_group	Clostridium_innocuum_group	Eubacterium_eligens_group	Eubacterium_ruminantium_group	Eubacterium_siraeum_group	Eubacterium_sulci_group	Eubacterium_ventriosum_group	Eubacterium_xylanophilum_group	Ruminococcus_gauvreauii_group	Ruminococcus_gnavus_group	Acidaminococcus	Acinetobacter	Actinobacillus	Acutalibacter	Adlercreutzia	Agathobacter	Agathobaculum	Akkermansia	Alistipes	Allisonella	Anaerobutyricum	Anaeroplasma	Anaerostipes	Anaerovibrio	Asteroleplasma	Bacteroides	Barnesiella	Bifidobacterium	Bilophila	Blautia	Brachyspira	Butyribacter	Butyricimonas	CAG-196	CAG-352	CAG-56	Campylobacter	Candidatus_Soleaferrea	Caproiciproducens	Catenibacterium	Catenisphaera	Christensenellaceae_R-7_group	Citrobacter	Clostridium	Colidextribacter	Collinsella	Coprobacillus	Coprobacter	Coprococcus	Coriobacteriaceae_UCG-003	Defluviitaleaceae_UCG-011	Desulfovibrio	dgA-11_gut_group	Dialister	Dorea	Eggerthella	Elusimicrobium	Enterocloster	Enterococcus	Erysipelotrichaceae_UCG-003	Erysipelotrichaceae_UCG-006	Escherichia-Shigella	Faecalibacterium	Faecalimonas	Falcatimonas	Family_XIII_AD3011_group	Family_XIII_UCG-001	Flavobacterium	Flavonifractor	Fournierella	Fusicatenibacter	Fusobacterium	GCA-900066575	Gemella	Gemmiger	Granulicatella	Haemophilus	Holdemanella	Holdemania	Howardella	Hungatella	Intestinibacter	Intestinimonas	Klebsiella	Lachnoclostridium	Lachnospira	Lachnospiraceae_FCS020_group	Lachnospiraceae_ND3007_group	Lachnospiraceae_NK3A20_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_NK4B4_group	Lachnospiraceae_UCG-003	Lachnospiraceae_UCG-004	Lachnospiraceae_UCG-007	Lachnospiraceae_UCG-010	Lactobacillus	Lactococcus	Leuconostoc	Leyella	Ligilactobacillus	Limosilactobacillus	Mannheimia	Massiliomicrobiota	Massiliprevotella	Mediterraneibacter	Megamonas	Megasphaera	Mitsuokella	Mogibacterium	Monoglobus	Negativibacillus	Neisseria	NK4A214_group	Odoribacter	Olsenella	Oribacterium	Oscillibacter	Oxalobacter	Paludicola	Parabacteroides	Paraprevotella	Parasutterella	Parolsenella	Peptococcus	Phascolarctobacterium	Porphyromonas	possible_genus_Sk018	Prevotellaceae_NK3B31_group	Prevotellaceae_UCG-003	Prevotellaceae_UCG-004	Pseudocitrobacter	Pseudomonas	Rikenellaceae_RC9_gut_group	Romboutsia	Roseburia	Rothia	Ruminobacter	Ruminococcus	Ruthenibacterium	Schaalia	Segatella	Senegalimassilia	Shuttleworthia	Slackia	Solobacterium	Streptobacillus	Streptococcus	Subdoligranulum	Succinivibrio	Sutterella	Terrisporobacter	Thomasclavelia	Tractidigestivibacter	Treponema	Turicibacter	UCG-002	UCG-003	UCG-004	UCG-005	UCG-008	UCG-009	Veillonella	Victivallis	Weissella	Xylanibacter	Zag_111
AK_SG_10	0	0	0.0039004362	0	0	0	0	0	0	0	0	0	0	0	0	0.044598409	0	0	0.0039517578	0	0	0	0	0	0	0.0316653836	0	0	0	0.0031306133	0	0	0	0	0.0007185014	0.0010264306	0	0	0	0.0081088016	0	0.0006158584	0	0	0	0.0181164999	0	0	0	0	0	0	0	0.0153451373	0.0079035155	0	0	0.0013856813	0.0063638696	0.0007698229	0	0.0146779574	0.0814985887	0	0	0	0	0	0	0.0010777521	0.0009237875	0	0	0	0.0058506543	0	0.0020015396	0.0229407236	0	0	0	0.0008211445	0	0.0020015396	0.001744932	0.016679497	0	0	0	0.0197074673	0	0	0.0039004362	0	0.0009237875	0	0	0	0	0	0	0.0012830382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0022068258	0	0.0001539646	0.0004105722	0	0	0	0	0	0	0	0	0	0	0	0.040133436	0	0	0	0	0	0.5757249166	0	0	0	0	0	0.0010264306	0	0.0227354375	0.0230433667	0	0	0	0	0	0.0055940467	0.0014883244	0	0.0021555042	0	0	0.0016936105	0	0	0	0
AK_SG_11	0	0	0.0065596711	0.0010495474	0	0	0	0	0	0	0	0	0.007128176	0	0	0.023877203	0	0	0	0	0	0.000612236	0	0	0	0.0056850483	0	0	0	0	0	0	0	0	0.0005247737	0	0	0	0	0.000918354	0	0.0008308917	0	0.0004373114	0.000612236	0	0	0	0.0101456247	0	0	0	0	0.0173175318	0.0025364062	0	0	0	0	0	0	0.0121572572	0.0424192067	0	0.0002186557	0	0	0	0	0.0020553636	0	0	0	0	0.0030611799	0.0010058162	0	0.0080027988	0	0	0	0	0	0	0.0008308917	0.0005685048	0	0	0	0.0069095203	0	0	0.0022302882	0	0	0	0	0	0.0446494949	0	0	0.0013556654	0	0	0.0008746228	0	0	0	0	0	0	0.0011370097	0.0017055145	0.0075654874	0	0	0	0	0	0.0015743211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0073905628	0.0001311934	0	0.0004810426	0	0	0.5484759697	0	0	0	0	0	0.0112389032	0	0.1730441247	0.0177985744	0	0	0	0	0	0.0209034854	0.0034984913	0.000306118	0.0001749246	0	0	0	0	0	0	0
AK_SG_12	0	0	0.0020201278	0.0009182399	0	0	0	0	0	0	0	0	0	0	0	0.0139939763	0	0.0002571072	0.0005142144	0	0	0	0	0	0.0008815103	0.0002203776	0	0.0007345919	0	0.0007345919	0	0.0009182399	0	0	0.0027179902	0	0	0	0	0	0	0.0027547198	0	0.0009916991	0.0006611327	0.0095496951	0	0	0.001909939	0	0	0.0008447807	0	0.0258576361	0.0071622714	0	0.0074193785	0.000550944	0	0.0037096893	0	0.0209725997	0.042349225	0	0	0	0	0	0	0	0	0	0	0	0.0042973628	0	0.0014324543	0.0060603835	0	0.0001469184	0	0.000367296	0	0	0.0058400059	0.0145449203	0	0	0	0.0220010284	0	0	0.0044075516	0	0.0003305664	0	0	0	0.0267024168	0.0035260413	0	0	0	0	0.0015059135	0	0	0.0032322045	0	0	0	0	0.000367296	0.0001469184	0	0	0.0002571072	0	0	0	0	0	0	0	0	0	0.0058767355	0	0	0	0	0	0	0.0015059135	0.0146918387	0	0	0.0105046647	0	0	0.3499595974	0	0.0009549695	0	0	0	0	0	0.326232278	0.0078234041	0	0	0	0	0	0.0164181297	0.0046279292	0.0013957247	0.0037464189	0	0	0	0	0	0	0.0124513333
AK_SG_15	0	0	0.0015581104	0.0026204585	0	0	0	0	0	0	0	0	0	0.0002360773	0.0001416464	0.0795108478	0	0	0.0035175524	0	0	0	0	0.0018177955	0.0051937015	0.0273849713	0	0	0	0	0	0	0	0.0030690054	0	0.0011803867	0	0	0	0.0098916405	0	0.0041785689	0	0.0009679171	0	0.0009915248	0	0	0.0086640383	0	0	0.0002124696	0	0.0026204585	0.0020538728	0	0	0.0005193701	0	0.0033522982	0	0	0.0220732312	0	0	0	0	0	0	0.001416464	0.0033286905	0.0001416464	0.0018414032	0	0.0022899502	0	0.0004013315	0.0100096792	0	0	0	0	0	0	0.0004957624	0.0008970939	0	0.0025024198	0	0.0086876461	0	0.0005665856	0.0033286905	0	0.0003305083	0	0	0	0	0	0.0003069005	0	0.0004721547	0.0079321986	0	0	0	0	0	0.0001888619	0	0	0.0006846243	0.0003777237	0	0	0	0	0	0.0027857126	0	0	0	0.0004485469	0.0091598008	0	0	0	0	0	0	0	0	0	0.001865011	0	0	0.0054297788	0	0	0.5578035364	0	0	0	0	0	0.0006138011	0	0.1776718053	0.0067990274	0	0	0	0	0	0.0004249392	0.0026912817	0.0006374088	0.0038480606	0	0	0	0	0	0	0.001865011
AK_SG_16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0031025243	0	0	0	0.0007051192	0	0	0	0	0	0.003384572	0	0.0023127909	0	0.0005923001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0007615287	0	0	0	0	0	0	0	0.0031307291	0.0064588916	0	0	0.0051896771	0	0	0	0.01994077	0.0010999859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001974334	0	0	0	0	0	0	0.0038358483	0.0013820336	0	0	0	0	0	0	0.000846143	0	0	0	0	0	0.0013820336	0.0021435623	0	0	0	0	0	0.0727400931	0.0493301368	0	0	0	0	0.0004230715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005640953	0	0	0	0	0	0.6686786067	0	0	0	0	0	0.0007897335	0	0.1470314483	0.0039768721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AK_SG_17	0	0	0.0457647298	0.0031652002	0	0	0	0.0011034643	0	0	0	0	0	0	0	0.2102970642	0	0	0.0012776955	0	0	0	0	0	0	0.2296657665	0.0016551964	0.0002032697	0.0001742312	0.0027586607	0	0.0029038534	0	0	0	0.0002613468	0	0	0	0	0	0.0004065395	0	0	0	0.0015971194	0	0	0.0150709992	0	0	0	0	0	0.0071144409	0	0	0.000871156	0	0.0061561692	0	0.0296483434	0.2118361065	0	0	0	0	0	0	0	0.005110782	0	0	0	0.0099021401	0.0002032697	0	0	0	0	0	0	0	0.070186137	0.0036588553	0.0237535209	0	0.001306734	0	0.010657142	0	0.0134738798	0.0100182943	0	0.0009292331	0	0	0	0	0	0	0	0	0	0.0062432848	0	0	0	0	0	0	0.0003484624	0.0001161541	0.0011615414	0	0	0	0	0	0.0005226936	0.0026425066	0.0003194239	0	0.0007840404	0.0026715451	0	0.00891483	0	0	0	0	0	0	0.0036588553	0.030229114	0	0	0.0090019456	0	0	0.0010453872	0	0	0	0	0	0.0038330865	0	0	0	0	0	0	0	0	0.0019165433	0.003426547	0	0.0009873102	0	0	0.0010453872	0	0	0	0
AK_SG_18	0	0.0003689236	0.0309244792	0	0	0	0	0	0	0.0004123264	0	0	0	0	0	0.2290798611	0.0006944444	0	0	0	0	0	0.0008897569	0	0	0.3320746528	0	0	0	0.0203342014	0	0	0	0	0.0015625	0.0011284722	0	0	0	0	0	0	0	0.0009114583	0	0	0	0.0006076389	0	0	0	0	0	0	0.0074001736	0	0	0.0008029514	0	0	0	0.0013671875	0.1522352431	0	0	0	0	0	0.0007161458	0	0.0052300347	0.0610026042	0	0	0	0	0.0008463542	0	0	0	0	0	0	0	0	0.0024739583	0	0.0018880208	0	0.0427083333	0	0.0199869792	0.0081814236	0	0	0	0	0	0	0	0	0.0045789931	0	0	0.0123914931	0	0	0	0	0	0	0.0006510417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0021050347	0.0416449653	0	0	0.005859375	0	0	0.0007595486	0	0	0	0	0	0.0009331597	0	0	0	0	0.0059244792	0	0	0.0005425347	0	0	0	0	0	0	0.00078125	0	0	0	0
AK_SG_19	0	0	0.0013676149	0	0	0	0	0	0	0	0	0	0	0	0.0001709519	0.0634573304	0.0011282823	0	0	0	0	0	0	0.0056414114	0	0.0004786652	0	0.0020856127	0	0.0052653173	0	0	0	0	0	0	0.0194201313	0	0	0.0232152626	0	0.0003419037	0	0.002393326	0	0.0097100656	0	0	0.0099152079	0	0	0	0	0.0313183807	0.0133684354	0	0	0	0	0	0	0.0004444748	0.071970733	0	0	0	0.0007521882	0	0	0.0009915208	0	0	0	0	0.0010940919	0	0.0018804705	0.0286857221	0	0	0	0.0032822757	0.0006838074	0.0024617068	0.0060516958	0.0030429431	0	0	0.0004444748	0.00735093	0	0	0.0016411379	0	0	0	0	0	0.0310448578	0	0	0	0	0.0031797046	0.014428337	0	0	0.0024958972	0	0	0	0.0006838074	0.0006496171	0	0	0.0012992341	0	0	0	0	0	0	0.0002393326	0	0.0023591357	0	0	0.0004444748	0.0009573304	0	0	0	0.002666849	0.0007863786	0.0121033917	0	0	0.0061884573	0	0	0.4639975383	0.00092314	0	0.0001709519	0.0001709519	0	0.0065645514	0	0.0819201313	0.0033164661	0	0	0	0.0205142232	0.0008889497	0.0126162473	0.0019488512	0.0031455142	0.0020514223	0.0016411379	0	0.000547046	0	0	0	0
AK_SG_2	0	0	0.002558854	0.001364722	0.001620607	0	0	0.001961788	0.004691232	0	0	0	0	0	0	0.04665643	0	0.006866257	0.02486353	0	0	0.001407369	0	0	0.0009808939	0.01966053	0.001108837	0	0.0005117707	0.007122143	0	0	0	0	0.00716479	0	0	0	0	0.005928011	0	0.02128113	0	0	0.001663255	0.0009808939	0	0.0004264756	0.003710338	0	0	0.00524565	0	0.02285909	0.01096042	0	0	0.001450017	0	0.002047083	0	0.001151484	0.03194302	0	0.004051518	0.001876493	0	0	0	0.008017741	0.003923576	0	0	0	0.0034971	0	0	0.010406	0	0	0	0	0	0	0.003582395	0.002686796	0	0	0	0.006397134	0	0.004861822	0.007804504	0	0.003070624	0	0	0	0.08137155	0	0	0	0.0003411805	0	0.002302968	0	0	0	0	0.001407369	0	0.0007250085	0.004691232	0.003454452	0	0	0.0005970658	0	0	0.001023541	0.001322074	0	0	0.0004264756	0	0	0.02648414	0	0	0	0	0	0	0	0.007591266	0	0	0.00682361	0	0	0.2162658	0.001151484	0	0	0	8.529512e-05	0.000682361	0	0.2955049	0.01774139	0	0	0	0	0	0.01893552	0.004776527	0	0.002900034	0	0.0008103037	0	0.001322074	0	0	0.002900034
AK_SG_25	0	0	0.0097857087	0	0	0	0	0	0	0	0	0	0	0.0003924749	0	0.1586383736	0.0032182946	0	0	0	0	0	0	0	0	0.0179753526	0	0.0089222638	0	0.0043957194	0	0	0	0	0	0	0	0	0	0.0569873623	0	0	0	0.0144430781	0.0007849499	0.0104659986	0	0	0	0	0	0	0	0.0397446296	0.0087914388	0	0	0.0045527094	0	0.0009157749	0	0.0014390748	0.0276040713	0.000340145	0	0	0	0	0	0	0.0062011042	0	0	0	0.0020931997	0	0.000235485	0	0	0	0	0	0	0.0005494649	0.0009419399	0.0060964442	0	0.00031398	0	0.0054423193	0	0	0.0030613046	0	0	0	0	0	0.0412360344	0	0	0	0	0	0.0010204349	0.0018838797	0	0	0	0	0	0.0006802899	0	0.000183155	0	0	0	0	0	0.0008896099	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005494649	0.0236531568	0	0	0	0	0	0.5264397289	0.0013344148	0	0.00031398	0	0	0.0008372799	0	0	0.0066459091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
