R_name	SNV_tree_name	Type	Country	Region	Plot_geo
AF02.8_human.feces_China_GCA_027688555	China_28I	isolate	China	China/SE Asia	China
AF14.56_human.feces_China_GCA_003465205	China_AF14I	isolate	China	China/SE Asia	China
AF92.02A_human.feces_China_GCA_027664845	China_202AI	isolate	China	China/SE Asia	China
AM110.65_human.feces_China_GCA_027674825	China_1065I	isolate	China	China/SE Asia	China
AM14.37_China_GCA_003472095	China_AM14I	isolate	China	China/SE Asia	China
AM64.16A_China_GCA_027667565	China_AM64I	isolate	China	China/SE Asia	China
AM66.51ACA_human.feces_China_GCA_027667065	China_651ACI	isolate	China	China/SE Asia	China
BB23_human.feces_China_GCA_000817995	China_BB23I	isolate	China	China/SE Asia	China
Bifidobacterium.adolescentis_AK_SK_1_Brokpa	Brokpa_1M	MAG	India	India/Nepal	India
Bifidobacterium.adolescentis_AK_SK_11_Brokpa	Brokpa_11M	MAG	India	India/Nepal	India
Bifidobacterium.adolescentis_AK_SK_12_Brokpa	Brokpa_12M	MAG	India	India/Nepal	India
Bifidobacterium.adolescentis_AK_SK_13_Brokpa	Brokpa_13M	MAG	India	India/Nepal	India
Bifidobacterium.adolescentis_AK_SK_2_Purigpa	Purigpa_2M	MAG	India	India/Nepal	India
Bifidobacterium.adolescentis_AK_SK_25_Purigpa	Purigpa_25M	MAG	India	India/Nepal	India
Bifidobacterium.adolescentis_AK_SK_32_Balti	Balti_32M	MAG	India	India/Nepal	India
Bifidobacterium.adolescentis_AK_SK_33_Brokpa	Brokpa_33M	MAG	India	India/Nepal	India
Bifidobacterium.adolescentis_AK_SK_35_Balti	Balti_35M	MAG	India	India/Nepal	India
Bifidobacterium.adolescentis_AK_SK_36_Boto	Boto_36M	MAG	India	India/Nepal	India
Bifidobacterium.adolescentis_AK_SK_37_Brokpa	Brokpa_37M	MAG	India	India/Nepal	India
Bifidobacterium.adolescentis_AK_SK_44_Balti	Balti_44M	MAG	India	India/Nepal	India
Bifidobacterium.adolescentis_AK_SK_45_Purigpa	Purigpa_45M	MAG	India	India/Nepal	India
Bifidobacterium.adolescentis_AK_SK_48_Purigpa	Purigpa_48M	MAG	India	India/Nepal	India
Bifidobacterium.adolescentis_AK_SK_8_Balti	Balti_8M	MAG	India	India/Nepal	India
Bifidobacterium.adolescentis_AK_SK_9_Boto	Boto_9M	MAG	India	India/Nepal	India
Bifidobacterium.adolescentis_RS12_A_Warli	Warli_RS12AM	MAG	India	India/Nepal	India
Bifidobacterium.adolescentis_RS12_B_Warli	Warli_RS12BM	MAG	India	India/Nepal	India
Bifidobacterium.adolescentis_RS5_A_Warli	Warli_RS5AM	MAG	India	India/Nepal	India
ca0067_human.feces_CambridgeMA_GCA_004167585	USA_ca0057I	isolate	USA	North America	USA
China.MGYG000047373	China_47373M	MAG	China	China/SE Asia	China
China.MGYG000093441	China_93441M	MAG	China	China/SE Asia	China
China.MGYG000111016	China_11101M	MAG	China	China/SE Asia	China
China.MGYG000117766	China_11776M	MAG	China	China/SE Asia	China
China.MGYG000170701	China_17070M	MAG	China	China/SE Asia	China
China.MGYG000170766	China_17076M	MAG	China	China/SE Asia	China
China.MGYG000175018	China_17501M	MAG	China	China/SE Asia	China
China.MGYG000225533	China_22553M	MAG	China	China/SE Asia	China
China.MGYG000226008	China_22600M	MAG	China	China/SE Asia	China
