Genus,Tandon_1,Tandon_10,Tandon_11,Tandon_12,Tandon_13,Tandon_14,Tandon_15,Tandon_16,Tandon_17,Tandon_18,Tandon_19,Tandon_2,Tandon_20,Tandon_21,Tandon_22,Tandon_23,Tandon_24,Tandon_25,Tandon_26,Tandon_27,Tandon_28,Tandon_29,Tandon_3,Tandon_30,Tandon_31,Tandon_32,Tandon_33,Tandon_34,Tandon_35,Tandon_36,Tandon_37,Tandon_38,Tandon_39,Tandon_4,Tandon_40,Tandon_41,Tandon_42,Tandon_43,Tandon_44,Tandon_45,Tandon_46,Tandon_47,Tandon_48,Tandon_49,Tandon_5,Tandon_50,Tandon_51,Tandon_52,Tandon_53,Tandon_54,Tandon_55,Tandon_56,Tandon_57,Tandon_58,Tandon_59,Tandon_6,Tandon_60,Tandon_61,Tandon_62,Tandon_63,Tandon_64,Tandon_65,Tandon_66,Tandon_67,Tandon_68,Tandon_69,Tandon_7,Tandon_70,Tandon_71,Tandon_72,Tandon_73,Tandon_74,Tandon_75,Tandon_76,Tandon_77,Tandon_78,Tandon_79,Tandon_8,Tandon_80,Tandon_9
Acinetobacter,0.00072,0,0,0.00124,0.00285,0.00227,0.0354,0.01045,0.00283,0.00062,0.00142,0,0.00112,0.00239,0,0.00161,0.01971,0,0.00347,0.00132,0.02079,0.00029,0.00153,0.00036,0.00144,0.00198,0,0.00161,0.00246,0,0.00106,0.00374,0,0.00291,0.00125,0,0.00219,0.0038,0,0.00475,0,0.00108,0,0.00104,0.01611,0.0008,0.00482,0.00033,0.00652,0,0.00121,0,0,0.00097,0.00257,0.00042,0.08299,0,0.0057,0.00382,0.0052,0.01637,0.00077,0.00061,0.00537,0,0,0.00075,0.00183,0,0.00288,0,0,0.00645,0,0.00082,0.00157,0,0.00353,0
Actinomyces,0,0,0.00228,0.00436,0.00047,0.00417,0.00151,0.00174,0.00071,0.00154,0.00332,0,0.00112,0.00477,0,0.00535,0.00104,0.00376,0.00347,0.00132,0.00347,0.00174,0.01381,0.00181,0.00289,0.00791,0.00872,0.00081,0.00123,0.00191,0.00422,0.00374,0.00116,0.00291,0.00031,0,0,0.00127,0.00111,0.01045,0.00111,0,0.00083,0.00209,0.00146,0.00239,0.00193,0.00033,0,0.00852,0.00243,0,0.00114,0.00146,0.02145,0,0.04453,0.00049,0.00228,0,0.00624,0.00546,0.00386,0,0.00376,0.00069,0.00068,0.00075,0.00092,0.00519,0.0046,0.00109,0.00145,0.00645,0.014,0.00245,0.00626,0.00194,0.00235,0.00768
Akkermansia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alistipes,0.00644,0.23347,0.44199,0.19537,0.08489,0,0.05573,0.00523,0.33444,0.11416,0.27021,0.0288,0.04191,0.04055,0.2057,0.04123,0.00104,0,0.11987,0.11603,1.28444,0.00869,0.00307,0,0.01878,0.01285,0.91012,0.04279,0,0.08517,0.00739,0.43601,0.57388,0.0097,0.01904,0.0067,0.01021,0.21495,3.46668,0.0038,0.05124,0.21472,0,0.00627,0.02344,0.01116,0.00193,0.89188,0.21197,0.00061,0.00728,0.14642,0,0,0.06777,0,0.03239,0.09139,0.01825,3.25694,2.69982,6.43665,0.16686,0.00368,0.1106,0.01306,0.85638,0.36993,0,0.04797,0.01669,0.15748,0.15032,0.07463,0.0154,0.0743,0.24119,0.00194,0.01176,0
Allisonella,0.01859,0.01222,0.00457,0.02302,0,0.00379,0,0.01394,0.00779,0.00987,0.00142,0.00432,0.00187,0.00358,0,0.01606,0,0,0,0,0,0.00695,0.00153,0,0.00144,0.00395,0,0.00807,0,0.00763,0.01478,0.00374,0.00233,0,0.00562,0.03605,0.00073,0.00063,0,0.00048,0.00668,0,0.00166,0.01202,0.00732,0.01355,0.01253,0.00428,0.00326,0.02374,0,0.00339,0.00114,0.03992,0.01201,0,0.00607,0.02015,0.0057,0,0,0.00327,0,0.0043,0.00322,0.00179,0,0.00598,0.00275,0.00259,0,0,0.00073,0.01566,0.0042,0,0.00157,0.00778,0.00353,0
Alloprevotella,9.60152,0.00489,8.48566,0.73917,4.71631,7.86255,8.28513,1.22147,0.00567,8.94946,0.00522,3.03375,1.68873,7.71157,0.01286,9.9781,4.78201,3.95389,4.96971,7.94304,0.02195,4.94463,0.1013,0.00651,0.01589,10.4837,1.28847,6.4787,0.00614,5.67911,6.52692,3.04646,1.49,1.68092,6.52368,0.20773,6.02305,3.88993,0.00666,0.0114,0.01225,3.09671,5.15178,3.25943,6.13181,3.42295,9.04866,0.00296,2.43278,4.73736,3.75253,2.39605,4.00169,5.25004,4.16145,0.00296,6.23419,2.62379,6.53567,0.01146,0.01351,0.05892,6.33893,5.0535,10.2137,2.8271,0.00068,3.42805,5.91957,5.99546,0.00518,0.2745,0.09731,3.56205,0.16238,4.42724,3.35792,4.40649,0.01411,0.01151
Anaerostipes,0,0.00122,0.02284,0.00933,0.00617,0.00038,0.03163,0,0,0,0.00142,0.00864,0.00037,0.03339,0,0.07495,0.00207,0.00251,0.00043,0,0,0.02287,0.67227,0.00326,0.00867,0.04941,0.00349,0.00081,0.00368,0.01144,0,0.10666,0.06053,0.00776,0.00031,0,0.00802,0.01078,0.00666,0.00285,0.00111,0.00539,0.00083,0.0047,0.00293,0.00159,0,0,0.06033,0,0,0.00085,0.06835,0,0.04461,0.00042,0.00405,0,0.00228,0,0.00658,0.02728,0.00077,0,0.00161,0.00014,0.00068,0.0553,0,0.00259,0.00173,0.00109,0,0.00645,0.007,0.00817,0,0,0.00118,0.00256
Bacteroides,0.12014,27.6687,0.78118,18.5646,2.59314,0.16564,0.70191,0.0453,9.94112,4.31908,1.18864,0.27213,0.17063,0.33155,2.32953,0.39994,0.03319,0.04014,0.52594,0.49314,3.64308,0.14389,0.94395,62.1351,3.58531,0.42101,2.76523,0.20912,0.0135,0.32988,0.60372,0.7822,0.61812,0.43163,0.02871,0.01664,0.11081,1.90343,61.2484,3.17217,0.85771,0.54273,0.14523,0.20218,0.17725,0.52863,0.02121,9.77148,5.11667,0.12355,2.24133,2.5759,0.76548,0.0039,1.7586,6.76213,2.74871,0.23093,2.461,66.701,54.2649,15.264,0.70759,0.02026,6.11672,0.08898,55.8723,1.49617,0.42178,0.12318,1.30639,0.52385,1.53152,1.06696,0.95607,0.0792,3.10733,0.0418,0.75595,3.25977
Barnesiella,0.00072,0.00122,0.00114,0.78522,1.17848,0,0,0.00348,0,0,0.02184,0.02016,0.00037,0.03697,0,0.00696,0.00104,0,0,0.01319,1.03725,0,0.00153,0,0.01589,0.00296,2.38689,0.05813,0,0.00127,0,0.58572,0.40393,0.00097,0,0,0.00146,0.00063,0,0.00095,0,0.05071,0,0.00575,0,0.00718,0.00096,0.00066,0.13044,0.00061,0,0.29496,0.00911,0.00049,0,0,0.03846,0,0,0,0.00069,0.00436,0.00463,0,0.34253,0.01939,2.40099,0.0127,0.00092,0.00389,0,0.00109,0.00073,0.00092,0,0.00082,0,0.00097,0,0
Bifidobacterium,0.22313,0.74318,0.90453,3.62929,0.27079,0.13872,0.16945,1.55602,0.08857,0.20918,0.28826,0.23901,0.16165,0.25522,0.20998,1.18536,0.10062,0.18942,0.70444,0.0923,0.82356,0.22322,13.3826,0.38242,0.67893,0.34293,0.3365,0.239,2.80281,0.4195,0.10555,0.20023,0.38181,0.32299,0.11454,0.21028,0.19537,0.30942,1.00649,2.94457,0.3286,0.08956,0.03485,0.14419,0.0835,0.48159,0.05978,0.06552,1.36966,0.11259,0.09824,0.13753,0.05354,0.08131,0.93249,0.05868,0.13157,0.42796,0.44134,0.51311,1.2936,0.52375,0.71145,0.06691,2.96897,0.17232,0.11811,0.55752,0.12287,0.18412,0.42587,0.92631,0.38488,0.63391,0.19597,0.46624,0.41348,0.80392,0.25629,12.7896
Bilophila,0,0.00367,0.03997,0.00684,0,0,0,0.01568,0.02763,0,0.05129,0.0144,0.00449,0.00358,0,0.00268,0.00104,0.00251,0.00347,0.00659,0.02541,0.00116,0,0.03365,0.00433,0.00099,0.03138,0.00081,0,0.02352,0,0.02246,0.05005,0.01164,0.00156,0,0,0.00254,0.00111,0.00048,0.01894,0,0.00083,0.0047,0,0.00877,0.00096,0.04379,0.01141,0.00183,0.01334,0.00465,0.01253,0,0.01287,0,0.03643,0,0,0,0,0.05456,0.03862,0.00552,0,0.00701,0.03268,0.02093,0.00092,0.01037,0.00058,0.04921,0,0.00553,0,0,0.04855,0.00778,0,0
Blautia,0.23242,0.60628,0.66355,2.7607,0.46049,0.48402,0.11975,4.30389,0.20548,0.42855,0.41648,0.30669,0.11114,0.23137,0.33769,0.39673,0.10269,0.25841,0.29533,0.17273,0.59833,0.18847,0.6953,0.97143,0.59803,0.35578,0.49168,0.18651,0.56351,0.13348,0.43801,0.31812,0.52034,0.25704,0.10643,0.00393,0.20704,0.22129,0.51157,0.12117,0.17934,0.80493,0.0639,0.24815,0.22119,0.42338,0.05785,0.31013,0.95224,0.21545,0.4245,0.31188,1.06848,0.05307,0.38432,0.442,0.66795,0.07223,0.24405,0.34632,1.80681,0.2215,0.56391,0.06876,0.65661,0.09847,0.66815,0.29669,0.15496,0.28007,0.18474,0.22857,0.10602,0.16769,0.07559,0.17311,0.34926,2.04139,0.08465,0.72411
