genome,length,breadth,coverage,reads,IS_location,GTDB_tax,sample,pairs,rel_ab,tribe,sample_type,domain,phylum,class,order,family,genus,species
GUT_GENOME000308.fna.fa,3035220,0.673108045,2.764721634,60573,s3://czbiohub-microbiome/Sonnenburg_Lab/IndianMicrobiome/alpha_analysis/quick_profile/IM_genomeSetAlpha-vs-NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_10_R1.fastq.gz.sorted.bam.IS/genomeCoverage.csv,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira rogosae,AK_SG_10,3815123,0.007938538,Gondia,fecal,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospira,Lachnospira rogosae
GUT_GENOME001506.fna.fa,4145911,0.604387311,2.5645809,76241,s3://czbiohub-microbiome/Sonnenburg_Lab/IndianMicrobiome/alpha_analysis/quick_profile/IM_genomeSetAlpha-vs-NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_10_R1.fastq.gz.sorted.bam.IS/genomeCoverage.csv,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__,AK_SG_10,3815123,0.009991945,Gondia,fecal,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,
GUT_GENOME014039.fna.fa,1575087,0.513905581,3.008667784,33010,s3://czbiohub-microbiome/Sonnenburg_Lab/IndianMicrobiome/alpha_analysis/quick_profile/IM_genomeSetAlpha-vs-NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_10_R1.fastq.gz.sorted.bam.IS/genomeCoverage.csv,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__,AK_SG_10,3815123,0.004326204,Gondia,fecal,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,
GUT_GENOME095021.fna.fa,2423712,0.605470452,2.437130078,41906,s3://czbiohub-microbiome/Sonnenburg_Lab/IndianMicrobiome/alpha_analysis/quick_profile/IM_genomeSetAlpha-vs-NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_10_R1.fastq.gz.sorted.bam.IS/genomeCoverage.csv,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_F,AK_SG_10,3815123,0.00549209,Gondia,fecal,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii_F
GUT_GENOME103864.fna.fa,2415920,0.506996507,1.838669385,31610,s3://czbiohub-microbiome/Sonnenburg_Lab/IndianMicrobiome/alpha_analysis/quick_profile/IM_genomeSetAlpha-vs-NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_10_R1.fastq.gz.sorted.bam.IS/genomeCoverage.csv,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__Holdemanella biformis,AK_SG_10,3815123,0.004142724,Gondia,fecal,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Holdemanella,Holdemanella biformis
GUT_GENOME126659.fna.fa,3221264,0.582503949,9.537440785,220049,s3://czbiohub-microbiome/Sonnenburg_Lab/IndianMicrobiome/alpha_analysis/quick_profile/IM_genomeSetAlpha-vs-NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_10_R1.fastq.gz.sorted.bam.IS/genomeCoverage.csv,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Segatella;s__Segatella sp900544825,AK_SG_10,3815123,0.028839044,Gondia,fecal,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Segatella,Segatella sp900544825
GUT_GENOME172443.fna.fa,3427886,0.53119036,8.65100031,210606,s3://czbiohub-microbiome/Sonnenburg_Lab/IndianMicrobiome/alpha_analysis/quick_profile/IM_genomeSetAlpha-vs-NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_10_R1.fastq.gz.sorted.bam.IS/genomeCoverage.csv,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Segatella;s__Segatella sp900551985,AK_SG_10,3815123,0.027601469,Gondia,fecal,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Segatella,Segatella sp900551985
GUT_GENOME229203.fna.fa,2095533,0.704153072,12.46039395,183347,s3://czbiohub-microbiome/Sonnenburg_Lab/IndianMicrobiome/alpha_analysis/quick_profile/IM_genomeSetAlpha-vs-NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_10_R1.fastq.gz.sorted.bam.IS/genomeCoverage.csv,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__;s__,AK_SG_10,3815123,0.024028976,Gondia,fecal,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,,
METABAT215_SUBJECTMAPPING_SCAFFOLDS_1500_MERGED_K77_METASPADES__AK_SG_10.3.fa,1882154,0.930993957,16.6557322,214726,s3://czbiohub-microbiome/Sonnenburg_Lab/IndianMicrobiome/alpha_analysis/quick_profile/IM_genomeSetAlpha-vs-NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_10_R1.fastq.gz.sorted.bam.IS/genomeCoverage.csv,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__,AK_SG_10,3815123,0.028141426,Gondia,fecal,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,
METABAT215_SUBJECTMAPPING_SCAFFOLDS_1500_MERGED_K77_METASPADES__AK_SG_15.25.fa,3183719,0.712058759,9.857030115,223885,s3://czbiohub-microbiome/Sonnenburg_Lab/IndianMicrobiome/alpha_analysis/quick_profile/IM_genomeSetAlpha-vs-NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_10_R1.fastq.gz.sorted.bam.IS/genomeCoverage.csv,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Segatella;s__Segatella copri,AK_SG_10,3815123,0.02934178,Gondia,fecal,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Segatella,Segatella copri
