"CBM12","CBM13","CBM16","CBM2","CBM20","CBM21","CBM22","CBM23","CBM25","CBM26","CBM27","CBM3","CBM30","CBM32","CBM34","CBM35","CBM36","CBM37","CBM38","CBM4","CBM40","CBM41","CBM42","CBM46","CBM47","CBM48","CBM5","CBM50","CBM51","CBM54","CBM56","CBM57","CBM58","CBM6","CBM61","CBM62","CBM63","CBM65","CBM66","CBM67","CBM68","CBM71","CBM72","CBM73","CBM74","CBM75","CBM76","CBM77","CBM78","CBM79","CBM80","CBM82","CBM83","CBM85","CBM86","CBM88","CBM89","CBM9","CBM91","GH1","GH10","GH101","GH102","GH103","GH104","GH105","GH106","GH108","GH109","GH11","GH110","GH111","GH112","GH113","GH114","GH115","GH116","GH117","GH119","GH120","GH121","GH123","GH124","GH125","GH126","GH127","GH128","GH129","GH13","GH13_1","GH13_10","GH13_11","GH13_12","GH13_13","GH13_14","GH13_16","GH13_18","GH13_19","GH13_2","GH13_20","GH13_21","GH13_23","GH13_26","GH13_27","GH13_28","GH13_29","GH13_3","GH13_30","GH13_31","GH13_32","GH13_33","GH13_36","GH13_37","GH13_38","GH13_39","GH13_4","GH13_41","GH13_42","GH13_5","GH13_6","GH13_7","GH13_8","GH13_9","GH130","GH133","GH136","GH137","GH138","GH139","GH140","GH141","GH142","GH143","GH144","GH146","GH147","GH148","GH149","GH15","GH151","GH153","GH154","GH156","GH158","GH159","GH16","GH16_14","GH16_17","GH16_21","GH16_24","GH16_3","GH16_5","GH16_6","GH16_7","GH16_8","GH161","GH163","GH164","GH165","GH166","GH167","GH170","GH171","GH172","GH173","GH18","GH19","GH2","GH20","GH23","GH24","GH25","GH26","GH27","GH28","GH29","GH3","GH30","GH30_1","GH30_2","GH30_3","GH30_4","GH30_5","GH30_6","GH30_8","GH30_9","GH31","GH32","GH33","GH35","GH36","GH37","GH38","GH39","GH4","GH42","GH43","GH43_1","GH43_10","GH43_11","GH43_12","GH43_16","GH43_17","GH43_18","GH43_19","GH43_2","GH43_20","GH43_21","GH43_22","GH43_24","GH43_26","GH43_27","GH43_28","GH43_29","GH43_3","GH43_30","GH43_31","GH43_32","GH43_33","GH43_34","GH43_35","GH43_37","GH43_4","GH43_5","GH43_7","GH43_8","GH43_9","GH44","GH46","GH47","GH48","GH49","GH5","GH5_1","GH5_10","GH5_13","GH5_18","GH5_19","GH5_2","GH5_21","GH5_22","GH5_25","GH5_26","GH5_28","GH5_35","GH5_36","GH5_37","GH5_38","GH5_39","GH5_4","GH5_40","GH5_41","GH5_42","GH5_44","GH5_45","GH5_46","GH5_48","GH5_5","GH5_54","GH5_7","GH5_8","GH50","GH51","GH52","GH53","GH54","GH55","GH57","GH59","GH62","GH63","GH64","GH65","GH66","GH67","GH68","GH70","GH71","GH73","GH74","GH76","GH77","GH78","GH79","GH8","GH81","GH82","GH84","GH85","GH86","GH87","GH88","GH89","GH9","GH91","GH92","GH93","GH94","GH95","GH97","GH98","GH99","GT1","GT10","GT100","GT101","GT102","GT103","GT104","GT105","GT107","GT108","GT11","GT111","GT112","GT113","GT115","GT12","GT14","GT15","GT17","GT19","GT2","GT20","GT21","GT22","GT23","GT25","GT26","GT27","GT28","GT29","GT3","GT30","GT31","GT32","GT35","GT39","GT4","GT41","GT42","GT44","GT5","GT51","GT52","GT53","GT56","GT6","GT60","GT66","GT70","GT73","GT74","GT76","GT8","GT80","GT81","GT82","GT83","GT84","GT85","GT87","GT89","GT9","GT90","GT92","GT94","GT99","PL1","PL1_2","PL1_5","PL1_6","PL1_8","PL10","PL10_1","PL10_2","PL10_3","PL11","PL11_1","PL11_2","PL12","PL12_1","PL12_2","PL12_3","PL13","PL15","PL15_2","PL17","PL17_1","PL17_2","PL2","PL2_1","PL2_2","PL21","PL21_1","PL22","PL22_1","PL22_2","PL26","PL27","PL29","PL3_1","PL30","PL31","PL32","PL33","PL33_1","PL33_2","PL34","PL35","PL37","PL38","PL39","PL4","PL4_1","PL4_4","PL40","PL42","PL5_1","PL6","PL6_1","PL7","PL7_1","PL7_2","PL8","PL8_2","PL8_3","PL9","PL9_1","PL9_2"
"GUT_GENOME000010.fna.fa",0,0.269741722300897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269741722300897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07896688920359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269741722300897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269741722300897,0,0,0,0,0,0,0,0.269741722300897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.539483444601794,0,1.61845033380538,0,0,0,0,0.539483444601794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269741722300897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269741722300897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61845033380538,0,0,0,0,0,0,0,0.269741722300897,0,0,0,0,0,0.539483444601794,0,0.269741722300897,0,0,0,0.269741722300897,0.269741722300897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269741722300897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269741722300897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUT_GENOME000031.fna.fa",0,0,0,0,0,0,0,0,0,0.246559873366849,0,0.246559873366849,0,0,0.246559873366849,0,0,0,0,0,0,0,0,0,0,0.246559873366849,0,0.986239493467396,0,0,0,0,0,0.246559873366849,0,0,0.246559873366849,0,0.246559873366849,0,0.246559873366849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246559873366849,0.739679620100547,0,0,0,0,0,0.493119746733698,0,0,1.23279936683425,0.493119746733698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246559873366849,0,0,0,0,0,0,0,0,0,0.246559873366849,0,0,0,0,0.246559873366849,0,0,0,0,0.246559873366849,0.246559873366849,0,0,0.739679620100547,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246559873366849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246559873366849,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246559873366849,0,0,0.739679620100547,0,0,0,0.246559873366849,0,0,0.246559873366849,0,0,0,0.246559873366849,0,0,0,0,0,0,0,0.246559873366849,0,0,0.739679620100547,0,0,0,0,0,0,0.986239493467396,0.493119746733698,0,0,0,0.246559873366849,0,0.246559873366849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246559873366849,0.246559873366849,0,0,0,0,0.246559873366849,0,0,0,0,0,0,0,0,0,0.246559873366849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.493119746733698,0,0.246559873366849,0,0,0,0,0,0,0,0.246559873366849,0,0,0.246559873366849,0,0,0.493119746733698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.986239493467396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45183822713589,0,0,0,0,0,0.246559873366849,0,0.493119746733698,0,0,0,0,0,0.246559873366849,0,2.21903886030164,0,0,0,0.246559873366849,0.986239493467396,0,0,0,0,0,0,0,0,0,0,0.246559873366849,0,0,0,0.493119746733698,0,0,0,0,0,0,0,0,0,0,0,0,0.246559873366849,0.246559873366849,0,0,0,0,0.493119746733698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246559873366849,0,0,0.246559873366849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246559873366849
"GUT_GENOME000035.fna.fa",0,0,0,0,0.156863901584843,0,0,0,0,0,0,0,0,0.627455606339372,0,0.156863901584843,0,0,0,0,0,0,0,0,0,0,0,0,0.156863901584843,0,0,0.470591704754529,0,0.313727803169686,0,0.627455606339372,0,0,0,0.941183409509058,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313727803169686,0,0,0,0,0.941183409509058,0,0.627455606339372,0,0,0,0,2.1960946221878,0.941183409509058,0,1.25491121267874,0,0,0,0,0,0,0.470591704754529,0,0.313727803169686,0,0.156863901584843,0,0.156863901584843,0,0.470591704754529,0,0.470591704754529,0,0,0.156863901584843,0,0,0,0,0,0.156863901584843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156863901584843,0,0,0,0,0,0,0,0.156863901584843,0,1.0980473110939,0.156863901584843,0,0.156863901584843,0.156863901584843,0.156863901584843,0.156863901584843,0.156863901584843,0.156863901584843,0.156863901584843,0.156863901584843,0.313727803169686,0,0,0,0.156863901584843,0,0,0.784319507924215,0,0,0,0,0,0,0,0,0.313727803169686,0,0,0,0,0,0.313727803169686,0.156863901584843,0,0,0,0,0.156863901584843,0,0.313727803169686,0.627455606339372,0,5.64710045705435,1.88236681901812,0.470591704754529,0,0.156863901584843,0,0.313727803169686,1.72550291743327,1.0980473110939,3.13727803169686,0,0,0.156863901584843,0,0.156863901584843,0,0.156863901584843,0,0,0.941183409509058,0.627455606339372,0.313727803169686,0.313727803169686,0.470591704754529,0,0.156863901584843,0,0,0.313727803169686,0.313727803169686,0.156863901584843,0.470591704754529,0,0.470591704754529,0,0,0.470591704754529,0.156863901584843,0.313727803169686,0,0,0,0.313727803169686,0.156863901584843,0,0.313727803169686,0.313727803169686,0.313727803169686,0,0.470591704754529,0,0,0.313727803169686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313727803169686,0,0,0,0.156863901584843,0,0,0,0,0,0,0,0.313727803169686,0,0.156863901584843,0,0,0,0,0,0,0,0,0,0,0,0.627455606339372,0.470591704754529,0,0,0,0,0.156863901584843,0,0,0,0,0,0.156863901584843,0.156863901584843,0,0,0,0.470591704754529,0,1.0980473110939,0.156863901584843,1.56863901584843,0,0,0,0,0,0,0,0,2.35295852377265,0.941183409509058,0,0,3.45100583486655,0,0,0.941183409509058,1.72550291743327,0,0.156863901584843,0,0,0,0,0,0,0,0,0,0,0.313727803169686,0,0,0,0,0,0,0,0,0.156863901584843,4.86278094913014,0.156863901584843,0,0,0,0,0.156863901584843,0,0.156863901584843,0,0.156863901584843,0.156863901584843,0,0,0.156863901584843,0,2.35295852377265,0,0,0,0.156863901584843,0.627455606339372,0,0,0,0.156863901584843,0,0,0,0,0,0,0.156863901584843,0,0,0,0.156863901584843,0,0,0,0,0.313727803169686,0,0,0,0,0,1.0980473110939,0,0,0,0,0.156863901584843,0,0,0,0.627455606339372,0,0,0,0.784319507924215,0,0.156863901584843,0.470591704754529,0.784319507924215,0.156863901584843,0,0,0,0,0,0,0,0,0,0,0.156863901584843,0,0.627455606339372,0,0.156863901584843,0,0,0,0.156863901584843,0,0,0.313727803169686,0.156863901584843,0.627455606339372,0,0,0,0,0.156863901584843,0.156863901584843,0,0,0,0,0,0,0,0.313727803169686,0.156863901584843,0.156863901584843,0,0
"GUT_GENOME000139.fna.fa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56629550715302,0,0,0,0,0,0,0,0,0,0,0.56629550715302,0,0.28314775357651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28314775357651,0,0,0,0,0,0,0,0,0.84944326072953,0,0,0,0.28314775357651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28314775357651,0,0,0.28314775357651,0,0.28314775357651,0,0,0.56629550715302,0,0,0,0,0,0.28314775357651,0,0,0.56629550715302,0,0,0,0,0,0.28314775357651,0,0,0,0,0,0,0,0.84944326072953,0,0.28314775357651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28314775357651,0,0.28314775357651,0,0,0,0.84944326072953,0,0,0,0,0.28314775357651,0,0,0,0,0,0,0,0,0,0,0.28314775357651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28314775357651,0,0,0,0,0,0.56629550715302,0,0,0.28314775357651,0,0,0,0,0,0,0,0,0,0,0,0,0.28314775357651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.36184159298926,0,0,0,0,0,0.28314775357651,0,0.28314775357651,0,0,0,0,0.28314775357651,0.56629550715302,0,0.84944326072953,0,0,0,0.28314775357651,0.28314775357651,0,0,0,0,0,0,0,0,0,0,0.28314775357651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28314775357651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUT_GENOME000147.fna.fa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365904037275376,0,0,0,0,0,0,0.731808074550752,0,0,0,0.365904037275376,0,0.365904037275376,0.731808074550752,0,0,0,0,0,0,0,0,0,0,0,0.731808074550752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29313633547839,0,0,0,0,0,0.731808074550752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4636161491015,0,0,0,0,0,1.09771211182613,0,0,0,0,0.365904037275376,0,0,0,0,0,0,0,0,2.92723229820301,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365904037275376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.731808074550752,0,0,0,0.365904037275376,0,0,0.731808074550752,0,0.731808074550752,0,0,0,0,0,0,0,0,0,0.731808074550752,4.39084844730451,0,0,1.4636161491015,0,0,0,0.731808074550752,0.731808074550752,0,0,0,0,0,0,0,0,0,0,0,0,0.731808074550752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29313633547839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.731808074550752,0,0,0,6.58627267095677,0,0,0,0,0,0,0,2.19542422365226,0,0,0,0,1.4636161491015,0.731808074550752,0,2.56132826092763,0,0,0,2.19542422365226,1.4636161491015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUT_GENOME000149.fna.fa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319835630072993,0,0,0,0,0,0,0,0,0,0,0.639671260145986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.639671260145986,0,0,0,0,0,0,0,0,0.639671260145986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319835630072993,0,0.319835630072993,0,0,0,0.319835630072993,0,0,0,0,0,0,0,0.319835630072993,0,0,0,0,0,0,0,0,0.319835630072993,0,0,0,0,0,0.319835630072993,0,0,0,0,0,0,0,0.639671260145986,0,0,0,0,0,0,0,0,0,0,0,0.319835630072993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319835630072993,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319835630072993,0,0.319835630072993,0,1.27934252029197,0,0,0,0.319835630072993,0,0.319835630072993,0,0,0.639671260145986,0,0,0,0,0,0,0,0,0,0,1.27934252029197,0,0,0.319835630072993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319835630072993,0,1.27934252029197,0,0.639671260145986,0,0,0.319835630072993,0,0,0,0,0,0.319835630072993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319835630072993,0,0,0,0,0,0,0,0,0,0.319835630072993,0,0,0,0,0,0.639671260145986,0,0,0.639671260145986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.11737008116789,0,0,0,0,0,0.319835630072993,0,0.639671260145986,0,0,0,0,0,0.639671260145986,0,0.639671260145986,0,0,0,0.319835630072993,0.319835630072993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUT_GENOME000159.fna.fa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377618976410898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.755237952821796,0,0,0,0,0.377618976410898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13285692923269,0,0,0,0,0,0,0,0.377618976410898,0,0,0,0,0,0,0,0.377618976410898,0,0,0,0,0.377618976410898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUT_GENOME000196.fna.fa",0,0,0,0,0,0,0,0,0,0,0,0,0,1.10068517652239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73379011768159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1075369417462,0,0,0,0,0,0,0,0,0.366895058840795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366895058840795,0,0,0,0,0,0,0,0.366895058840795,0,0,0,0,0.366895058840795,0,0,0,0,0,0,0,0,0.73379011768159,0,0,0,0,0,0,0,0,0,0.366895058840795,0,0,0,0.366895058840795,0,0,0,0,0,0,0.366895058840795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73379011768159,0,0,0,0,0,0,0,0,0.73379011768159,0,0,0,0,0,0.366895058840795,0.366895058840795,0,0,0.73379011768159,0,0,0,0,1.10068517652239,0,0,0,0.366895058840795,0,0,0,0,0,0,0.366895058840795,0,0,0.366895058840795,0,0,0,0.366895058840795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366895058840795,0,0,0,0,0,0,0,0,0,0,0,0.366895058840795,0,0,0.366895058840795,0,0,0,0,0,0.366895058840795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73379011768159,0,0,0,5.13653082377113,0,0,0,0,0,0,0,0.366895058840795,0,0,0,0,0.366895058840795,0.366895058840795,0,1.10068517652239,0,0,0,0.73379011768159,1.46758023536318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUT_GENOME000205.fna.fa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25693776941531,0,0,0,0,0,0,0,0,0,0,0.77081330824593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02775107766124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25693776941531,0,0,0.25693776941531,0,0,0,0,0.51387553883062,0,0,0,0,0,0,0,0,0.51387553883062,0,0,0.25693776941531,0,0,0.25693776941531,0.25693776941531,0,0,0,0,0,0,0.77081330824593,0,0.25693776941531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25693776941531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25693776941531,0,0.51387553883062,0,0.51387553883062,0,0,0,0.25693776941531,0,0,0,0,0.25693776941531,0,0,0,0,0,0,0,0,0,0,0.77081330824593,0,0,0.25693776941531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25693776941531,0,0,0,0,0,0,0,0.51387553883062,0,0,0.51387553883062,0,0,0,0,0,0,0,0,0,0,0,0,0.25693776941531,0,0,0.25693776941531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11100431064496,0,0,0,0,0,0,0.25693776941531,0.51387553883062,0,0,0,0,0.25693776941531,0.51387553883062,0,1.28468884707655,0,0,0,0.25693776941531,0.25693776941531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUT_GENOME000219.fna.fa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305244341990877,0,0,0,0,0,0,0,0,0,0,0,0,0.305244341990877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52622170995438,0,0,0,0,0,0,0,0,2.13671039393614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305244341990877,0,0,0,0,0,0,0,0.305244341990877,0,0,0,0,0,0,0,0,0.305244341990877,0,0,0,0,0,0.305244341990877,0,0,0,0,0,0,0,0.305244341990877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305244341990877,0,0,0,0,0,0.915733025972631,0,0,0,0,0.305244341990877,0,0,0,0,0,0,0,0,0,0,1.22097736796351,0,0,0,0,0,0,0.915733025972631,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305244341990877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.610488683981754,0,0,0.305244341990877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05244341990877,0,0,0,0,0,0,0,0.305244341990877,0,0,0,0,0,0.305244341990877,0,0.610488683981754,0,0,0,0.305244341990877,0.610488683981754,0,0,0,0,0,0,0,0,0,0,0.305244341990877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
